Date/Hour (PST),Year,Month,Day,Hour Beginning,Hour Ending,SCE Hourly Load,SCE Hourly PV Generation
1/1/2017 0:00,2017,1,1,0,1," 10,373 ",0.00
1/1/2017 1:00,2017,1,1,1,2," 10,015 ",0.00
1/1/2017 2:00,2017,1,1,2,3," 9,655 ",0.00
1/1/2017 3:00,2017,1,1,3,4," 9,433 ",0.00
1/1/2017 4:00,2017,1,1,4,5," 9,408 ",0.00
1/1/2017 5:00,2017,1,1,5,6," 9,550 ",0.00
1/1/2017 6:00,2017,1,1,6,7," 9,711 ",0.14
1/1/2017 7:00,2017,1,1,7,8," 9,396 ",82.04
1/1/2017 8:00,2017,1,1,8,9," 9,802 ",440.06
1/1/2017 9:00,2017,1,1,9,10," 10,106 ",763.26
1/1/2017 10:00,2017,1,1,10,11," 10,350 ",968.18
1/1/2017 11:00,2017,1,1,11,12," 10,446 ",1058.89
1/1/2017 12:00,2017,1,1,12,13," 10,430 ",1063.83
1/1/2017 13:00,2017,1,1,13,14," 10,369 ",965.40
1/1/2017 14:00,2017,1,1,14,15," 10,300 ",757.23
1/1/2017 15:00,2017,1,1,15,16," 10,296 ",435.02
1/1/2017 16:00,2017,1,1,16,17," 10,644 ",54.41
1/1/2017 17:00,2017,1,1,17,18," 11,965 ",2.00
1/1/2017 18:00,2017,1,1,18,19," 12,288 ",0.00
1/1/2017 19:00,2017,1,1,19,20," 12,185 ",0.00
1/1/2017 20:00,2017,1,1,20,21," 11,955 ",0.00
1/1/2017 21:00,2017,1,1,21,22," 11,467 ",0.00
1/1/2017 22:00,2017,1,1,22,23," 10,959 ",0.00
1/1/2017 23:00,2017,1,1,23,24," 10,172 ",0.00
1/2/2017 0:00,2017,1,2,0,1," 10,369 ",0.00
1/2/2017 1:00,2017,1,2,1,2," 10,050 ",0.00
1/2/2017 2:00,2017,1,2,2,3," 9,905 ",0.00
1/2/2017 3:00,2017,1,2,3,4," 9,933 ",0.00
1/2/2017 4:00,2017,1,2,4,5," 10,275 ",0.00
1/2/2017 5:00,2017,1,2,5,6," 11,091 ",0.00
1/2/2017 6:00,2017,1,2,6,7," 12,017 ",0.14
1/2/2017 7:00,2017,1,2,7,8," 12,536 ",82.04
1/2/2017 8:00,2017,1,2,8,9," 12,864 ",440.06
1/2/2017 9:00,2017,1,2,9,10," 12,996 ",763.26
1/2/2017 10:00,2017,1,2,10,11," 13,015 ",968.18
1/2/2017 11:00,2017,1,2,11,12," 12,979 ",1058.89
1/2/2017 12:00,2017,1,2,12,13," 12,880 ",1063.83
1/2/2017 13:00,2017,1,2,13,14," 12,700 ",965.40
1/2/2017 14:00,2017,1,2,14,15," 12,548 ",757.23
1/2/2017 15:00,2017,1,2,15,16," 12,446 ",435.02
1/2/2017 16:00,2017,1,2,16,17," 12,711 ",54.41
1/2/2017 17:00,2017,1,2,17,18," 14,244 ",2.00
1/2/2017 18:00,2017,1,2,18,19," 14,537 ",0.00
1/2/2017 19:00,2017,1,2,19,20," 14,364 ",0.00
1/2/2017 20:00,2017,1,2,20,21," 13,917 ",0.00
1/2/2017 21:00,2017,1,2,21,22," 13,022 ",0.00
1/2/2017 22:00,2017,1,2,22,23," 11,897 ",0.00
1/2/2017 23:00,2017,1,2,23,24," 11,017 ",0.00
1/3/2017 0:00,2017,1,3,0,1," 10,650 ",0.00
1/3/2017 1:00,2017,1,3,1,2," 10,231 ",0.00
1/3/2017 2:00,2017,1,3,2,3," 10,019 ",0.00
1/3/2017 3:00,2017,1,3,3,4," 10,020 ",0.00
1/3/2017 4:00,2017,1,3,4,5," 10,343 ",0.00
1/3/2017 5:00,2017,1,3,5,6," 11,111 ",0.00
1/3/2017 6:00,2017,1,3,6,7," 12,050 ",0.14
1/3/2017 7:00,2017,1,3,7,8," 12,628 ",82.04
1/3/2017 8:00,2017,1,3,8,9," 12,972 ",440.06
1/3/2017 9:00,2017,1,3,9,10," 13,085 ",763.26
1/3/2017 10:00,2017,1,3,10,11," 13,172 ",968.18
1/3/2017 11:00,2017,1,3,11,12," 13,011 ",1058.89
1/3/2017 12:00,2017,1,3,12,13," 12,840 ",1063.83
1/3/2017 13:00,2017,1,3,13,14," 12,750 ",965.40
1/3/2017 14:00,2017,1,3,14,15," 12,532 ",757.23
1/3/2017 15:00,2017,1,3,15,16," 12,371 ",435.02
1/3/2017 16:00,2017,1,3,16,17," 12,557 ",54.41
1/3/2017 17:00,2017,1,3,17,18," 13,927 ",2.00
1/3/2017 18:00,2017,1,3,18,19," 14,195 ",0.00
1/3/2017 19:00,2017,1,3,19,20," 14,004 ",0.00
1/3/2017 20:00,2017,1,3,20,21," 13,666 ",0.00
1/3/2017 21:00,2017,1,3,21,22," 12,862 ",0.00
1/3/2017 22:00,2017,1,3,22,23," 11,765 ",0.00
1/3/2017 23:00,2017,1,3,23,24," 10,992 ",0.00
1/4/2017 0:00,2017,1,4,0,1," 10,597 ",0.00
1/4/2017 1:00,2017,1,4,1,2," 10,188 ",0.00
1/4/2017 2:00,2017,1,4,2,3," 9,975 ",0.00
1/4/2017 3:00,2017,1,4,3,4," 9,939 ",0.00
1/4/2017 4:00,2017,1,4,4,5," 10,238 ",0.00
1/4/2017 5:00,2017,1,4,5,6," 11,005 ",0.00
1/4/2017 6:00,2017,1,4,6,7," 11,896 ",0.14
1/4/2017 7:00,2017,1,4,7,8," 12,470 ",82.04
1/4/2017 8:00,2017,1,4,8,9," 12,684 ",440.06
1/4/2017 9:00,2017,1,4,9,10," 12,855 ",763.26
1/4/2017 10:00,2017,1,4,10,11," 12,954 ",968.18
1/4/2017 11:00,2017,1,4,11,12," 12,928 ",1058.89
1/4/2017 12:00,2017,1,4,12,13," 12,834 ",1063.83
1/4/2017 13:00,2017,1,4,13,14," 12,785 ",965.40
1/4/2017 14:00,2017,1,4,14,15," 12,734 ",757.23
1/4/2017 15:00,2017,1,4,15,16," 12,534 ",435.02
1/4/2017 16:00,2017,1,4,16,17," 12,588 ",54.41
1/4/2017 17:00,2017,1,4,17,18," 13,851 ",2.00
1/4/2017 18:00,2017,1,4,18,19," 14,064 ",0.00
1/4/2017 19:00,2017,1,4,19,20," 13,883 ",0.00
1/4/2017 20:00,2017,1,4,20,21," 13,506 ",0.00
1/4/2017 21:00,2017,1,4,21,22," 12,695 ",0.00
1/4/2017 22:00,2017,1,4,22,23," 11,724 ",0.00
1/4/2017 23:00,2017,1,4,23,24," 10,840 ",0.00
1/5/2017 0:00,2017,1,5,0,1," 10,141 ",0.00
1/5/2017 1:00,2017,1,5,1,2," 9,920 ",0.00
1/5/2017 2:00,2017,1,5,2,3," 9,725 ",0.00
1/5/2017 3:00,2017,1,5,3,4," 9,682 ",0.00
1/5/2017 4:00,2017,1,5,4,5," 9,954 ",0.00
1/5/2017 5:00,2017,1,5,5,6," 10,752 ",0.00
1/5/2017 6:00,2017,1,5,6,7," 11,824 ",0.14
1/5/2017 7:00,2017,1,5,7,8," 12,305 ",82.04
1/5/2017 8:00,2017,1,5,8,9," 12,599 ",440.06
1/5/2017 9:00,2017,1,5,9,10," 12,765 ",763.26
1/5/2017 10:00,2017,1,5,10,11," 12,927 ",968.18
1/5/2017 11:00,2017,1,5,11,12," 12,842 ",1058.89
1/5/2017 12:00,2017,1,5,12,13," 12,650 ",1063.83
1/5/2017 13:00,2017,1,5,13,14," 12,579 ",965.40
1/5/2017 14:00,2017,1,5,14,15," 12,466 ",757.23
1/5/2017 15:00,2017,1,5,15,16," 12,304 ",435.02
1/5/2017 16:00,2017,1,5,16,17," 12,560 ",54.41
1/5/2017 17:00,2017,1,5,17,18," 13,820 ",2.00
1/5/2017 18:00,2017,1,5,18,19," 13,992 ",0.00
1/5/2017 19:00,2017,1,5,19,20," 13,759 ",0.00
1/5/2017 20:00,2017,1,5,20,21," 13,327 ",0.00
1/5/2017 21:00,2017,1,5,21,22," 12,628 ",0.00
1/5/2017 22:00,2017,1,5,22,23," 11,567 ",0.00
1/5/2017 23:00,2017,1,5,23,24," 10,737 ",0.00
