Date/Hour (PST),Year,Month,Day,Hour Beginning,Hour Ending,SDGE Hourly Load,SDGE Hourly PV Generation
1/1/2027 0:00,2027,1,1,0,1," 2,395 ",0.00
1/1/2027 1:00,2027,1,1,1,2," 2,250 ",0.00
1/1/2027 2:00,2027,1,1,2,3," 2,157 ",0.00
1/1/2027 3:00,2027,1,1,3,4," 2,096 ",0.00
1/1/2027 4:00,2027,1,1,4,5," 2,094 ",0.00
1/1/2027 5:00,2027,1,1,5,6," 2,164 ",0.00
1/1/2027 6:00,2027,1,1,6,7," 2,251 ",0.00
1/1/2027 7:00,2027,1,1,7,8," 2,280 ",94.38
1/1/2027 8:00,2027,1,1,8,9," 2,392 ",434.37
1/1/2027 9:00,2027,1,1,9,10," 2,486 ",720.72
1/1/2027 10:00,2027,1,1,10,11," 2,545 ",913.65
1/1/2027 11:00,2027,1,1,11,12," 2,559 ",1009.77
1/1/2027 12:00,2027,1,1,12,13," 2,550 ",1014.50
1/1/2027 13:00,2027,1,1,13,14," 2,528 ",911.45
1/1/2027 14:00,2027,1,1,14,15," 2,498 ",707.43
1/1/2027 15:00,2027,1,1,15,16," 2,499 ",393.99
1/1/2027 16:00,2027,1,1,16,17," 2,678 ",50.42
1/1/2027 17:00,2027,1,1,17,18," 3,136 ",0.00
1/1/2027 18:00,2027,1,1,18,19," 3,200 ",0.00
1/1/2027 19:00,2027,1,1,19,20," 3,128 ",0.00
1/1/2027 20:00,2027,1,1,20,21," 3,038 ",0.00
1/1/2027 21:00,2027,1,1,21,22," 2,870 ",0.00
1/1/2027 22:00,2027,1,1,22,23," 2,604 ",0.00
1/1/2027 23:00,2027,1,1,23,24," 2,340 ",0.00
1/2/2027 0:00,2027,1,2,0,1," 2,265 ",0.00
1/2/2027 1:00,2027,1,2,1,2," 2,144 ",0.00
1/2/2027 2:00,2027,1,2,2,3," 2,066 ",0.00
1/2/2027 3:00,2027,1,2,3,4," 2,032 ",0.00
1/2/2027 4:00,2027,1,2,4,5," 2,041 ",0.00
1/2/2027 5:00,2027,1,2,5,6," 2,107 ",0.00
1/2/2027 6:00,2027,1,2,6,7," 2,240 ",0.00
1/2/2027 7:00,2027,1,2,7,8," 2,362 ",94.38
1/2/2027 8:00,2027,1,2,8,9," 2,547 ",434.37
1/2/2027 9:00,2027,1,2,9,10," 2,757 ",720.72
1/2/2027 10:00,2027,1,2,10,11," 2,855 ",913.65
1/2/2027 11:00,2027,1,2,11,12," 2,867 ",1009.77
1/2/2027 12:00,2027,1,2,12,13," 2,818 ",1014.50
1/2/2027 13:00,2027,1,2,13,14," 2,759 ",911.45
1/2/2027 14:00,2027,1,2,14,15," 2,726 ",707.43
1/2/2027 15:00,2027,1,2,15,16," 2,747 ",393.99
1/2/2027 16:00,2027,1,2,16,17," 2,895 ",50.42
1/2/2027 17:00,2027,1,2,17,18," 3,252 ",0.00
1/2/2027 18:00,2027,1,2,18,19," 3,267 ",0.00
1/2/2027 19:00,2027,1,2,19,20," 3,205 ",0.00
1/2/2027 20:00,2027,1,2,20,21," 3,106 ",0.00
1/2/2027 21:00,2027,1,2,21,22," 2,984 ",0.00
1/2/2027 22:00,2027,1,2,22,23," 2,772 ",0.00
1/2/2027 23:00,2027,1,2,23,24," 2,475 ",0.00
1/3/2027 0:00,2027,1,3,0,1," 2,256 ",0.00
1/3/2027 1:00,2027,1,3,1,2," 2,139 ",0.00
1/3/2027 2:00,2027,1,3,2,3," 2,063 ",0.00
1/3/2027 3:00,2027,1,3,3,4," 2,031 ",0.00
1/3/2027 4:00,2027,1,3,4,5," 2,039 ",0.00
1/3/2027 5:00,2027,1,3,5,6," 2,100 ",0.00
1/3/2027 6:00,2027,1,3,6,7," 2,217 ",0.00
1/3/2027 7:00,2027,1,3,7,8," 2,282 ",94.38
1/3/2027 8:00,2027,1,3,8,9," 2,421 ",434.37
1/3/2027 9:00,2027,1,3,9,10," 2,523 ",720.72
1/3/2027 10:00,2027,1,3,10,11," 2,574 ",913.65
1/3/2027 11:00,2027,1,3,11,12," 2,595 ",1009.77
1/3/2027 12:00,2027,1,3,12,13," 2,587 ",1014.50
1/3/2027 13:00,2027,1,3,13,14," 2,566 ",911.45
1/3/2027 14:00,2027,1,3,14,15," 2,548 ",707.43
1/3/2027 15:00,2027,1,3,15,16," 2,560 ",393.99
1/3/2027 16:00,2027,1,3,16,17," 2,733 ",50.42
1/3/2027 17:00,2027,1,3,17,18," 3,222 ",0.00
1/3/2027 18:00,2027,1,3,18,19," 3,310 ",0.00
1/3/2027 19:00,2027,1,3,19,20," 3,256 ",0.00
1/3/2027 20:00,2027,1,3,20,21," 3,166 ",0.00
1/3/2027 21:00,2027,1,3,21,22," 2,955 ",0.00
1/3/2027 22:00,2027,1,3,22,23," 2,686 ",0.00
1/3/2027 23:00,2027,1,3,23,24," 2,399 ",0.00
1/4/2027 0:00,2027,1,4,0,1," 2,231 ",0.00
1/4/2027 1:00,2027,1,4,1,2," 2,138 ",0.00
1/4/2027 2:00,2027,1,4,2,3," 2,105 ",0.00
1/4/2027 3:00,2027,1,4,3,4," 2,117 ",0.00
1/4/2027 4:00,2027,1,4,4,5," 2,220 ",0.00
1/4/2027 5:00,2027,1,4,5,6," 2,463 ",0.00
1/4/2027 6:00,2027,1,4,6,7," 2,881 ",0.00
1/4/2027 7:00,2027,1,4,7,8," 3,080 ",94.38
